subject_id,date,exercise,set,sensor_location,file_path
004,10_30_25,Ankle Rotation,10_slow_CCW,foot,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Ankle Rotation/MT_012002CC_002-000_00B4737C.txt
004,10_30_25,Ankle Rotation,10_fast_CW,shank,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Ankle Rotation/MT_012002CC_001-000_00B472EC.txt
004,10_30_25,Ankle Rotation,10_fast_CCW,foot,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Ankle Rotation/MT_012002CC_003-000_00B4737C.txt
004,10_30_25,Ankle Rotation,10_slow_CW,shank,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Ankle Rotation/MT_012002CC_000-000_00B472EC.txt
004,10_30_25,Ankle Rotation,10_slow_CW,foot,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Ankle Rotation/MT_012002CC_000-000_00B4737C.txt
004,10_30_25,Ankle Rotation,10_fast_CCW,shank,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Ankle Rotation/MT_012002CC_003-000_00B472EC.txt
004,10_30_25,Ankle Rotation,10_fast_CW,foot,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Ankle Rotation/MT_012002CC_001-000_00B4737C.txt
004,10_30_25,Ankle Rotation,10_slow_CCW,shank,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Ankle Rotation/MT_012002CC_002-000_00B472EC.txt
004,10_30_25,Calf Raises,10_fast,shank,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Calf Raises/MT_012002CC_001-000_00B472EC.txt
004,10_30_25,Calf Raises,10_slow,shank,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Calf Raises/MT_012002CC_000-000_00B472EC.txt
004,10_30_25,Calf Raises,10_slow,foot,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Calf Raises/MT_012002CC_000-000_00B4737C.txt
004,10_30_25,Calf Raises,10_fast,foot,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Calf Raises/MT_012002CC_001-000_00B4737C.txt
004,10_30_25,Calibration,default,shank,/Users/dhritigabani/Capstone/preprocessing/../dataset/Subject_004_Rohan/10_30_25/Calibration/MT_012002CC_000-000_00B472EC.txt
